category,n,pct
Git,43,86.0
GitHub,41,82.0
GitLab,30,60.0
Slack,18,36.0
Google Drive,7,14.0
Jira,7,14.0
Confluence,5,10.0
Bitbucket,1,2.0
Trello,1,2.0
