category,n,pct
GitHub,116,94.3
Git,80,65.0
Slack,66,53.7
GitLab,51,41.5
Google Drive,31,25.2
Jira,20,16.3
Confluence,19,15.4
Bitbucket,9,7.3
Trello,8,6.5
Sourceforge,3,2.4
Travis,1,0.8
