category,n,pct
GitLab,165,80.9
GitHub,148,72.5
Git,127,62.3
Slack,31,15.2
Confluence,21,10.3
Google Drive,18,8.8
Jira,17,8.3
Trello,5,2.5
Bitbucket,2,1.0
Sourceforge,1,0.5
