category,n,pct
GitHub,89,98.9
Slack,68,75.6
Git,65,72.2
Google Drive,41,45.6
GitLab,22,24.4
Jira,12,13.3
Confluence,11,12.2
Trello,9,10.0
Bitbucket,5,5.6
Travis,1,1.1
