age_group,category,n,pct,N
Under 35,Always,5,16.1,31
Under 35,Sometimes,14,45.2,31
Under 35,Never,12,38.7,31
35-44,Always,3,7.0,43
35-44,Sometimes,27,62.8,43
35-44,Never,13,30.2,43
45-54,Sometimes,18,81.8,22
45-54,Never,4,18.2,22
55+,Sometimes,5,100.0,5
