age_group,category,n,pct,N
Under 35,Always,4,13.3,30
Under 35,Sometimes,13,43.3,30
Under 35,Never,13,43.3,30
35-44,Always,8,17.4,46
35-44,Sometimes,16,34.8,46
35-44,Never,22,47.8,46
45-54,Always,1,4.8,21
45-54,Sometimes,15,71.4,21
45-54,Never,5,23.8,21
55+,Sometimes,5,71.4,7
55+,Never,2,28.6,7
