age_group,category,n,pct,N
Under 35,False,53,80.3,66
Under 35,True,13,19.7,66
35-44,False,57,73.1,78
35-44,True,21,26.9,78
45-54,False,25,69.4,36
45-54,True,11,30.6,36
55+,False,12,92.3,13
55+,True,1,7.7,13
