age_group,category,n,pct,N
Under 35,Increase,19,27.9,68
Under 35,Same,39,57.4,68
Under 35,Decrease,10,14.7,68
35-44,Increase,29,38.7,75
35-44,Same,36,48.0,75
35-44,Decrease,10,13.3,75
45-54,Increase,12,34.3,35
45-54,Same,21,60.0,35
45-54,Decrease,2,5.7,35
55+,Increase,4,33.3,12
55+,Same,8,66.7,12
