age_group,category,n,pct,N
Under 35,True,34,51.5,66
Under 35,False,32,48.5,66
35-44,True,53,69.7,76
35-44,False,23,30.3,76
45-54,True,27,79.4,34
45-54,False,7,20.6,34
55+,True,13,92.9,14
55+,False,1,7.1,14
