category,n,pct
Computer science,48,52.7
Physical sciences,45,49.5
Engineering and technology,37,40.7
Biological sciences,35,38.5
Mathematical sciences,20,22.0
Medicine and health sciences,19,20.9
Social sciences,11,12.1
Education,10,11.0
Languages and linguistics,6,6.6
Historical and philosophical studies,6,6.6
Agriculture and related subjects,4,4.4
Communications,3,3.3
Creative arts and design,3,3.3
Law,2,2.2
Business,2,2.2
Veterinary science,1,1.1
"Architecture, building and planning",1,1.1
