category,n,pct
Physical sciences,22,45.8
Computer science,21,43.8
Biological sciences,16,33.3
Engineering and technology,16,33.3
Medicine and health sciences,10,20.8
Social sciences,8,16.7
Agriculture and related subjects,6,12.5
Mathematical sciences,6,12.5
Languages and linguistics,5,10.4
"Architecture, building and planning",4,8.3
Education,4,8.3
Historical and philosophical studies,3,6.2
Veterinary science,2,4.2
Business,1,2.1
Communications,1,2.1
Creative arts and design,1,2.1
