category,n,pct
Computer science,107,56.0
Physical sciences,76,39.8
Engineering and technology,56,29.3
Biological sciences,45,23.6
Mathematical sciences,28,14.7
Medicine and health sciences,24,12.6
Languages and linguistics,18,9.4
Social sciences,16,8.4
Historical and philosophical studies,16,8.4
Education,15,7.9
Agriculture and related subjects,11,5.8
Communications,10,5.2
Creative arts and design,4,2.1
"Architecture, building and planning",2,1.0
Law,1,0.5
Business,1,0.5
