age_group,category,n,pct,N
Under 35,1,35,51.5,68
Under 35,2-3,30,44.1,68
Under 35,4-5,3,4.4,68
35-44,1,49,62.0,79
35-44,2-3,27,34.2,79
35-44,4-5,2,2.5,79
35-44,6 or more,1,1.3,79
45-54,1,20,64.5,31
45-54,2-3,9,29.0,31
45-54,4-5,2,6.5,31
55+,1,7,63.6,11
55+,2-3,2,18.2,11
55+,6 or more,1,9.1,11
55+,4-5,1,9.1,11
