country_group,category,n,pct,N
Germany,1,112,58.6,191
Germany,2-3,69,36.1,191
Germany,4-5,8,4.2,191
Germany,6 or more,2,1.0,191
Netherlands,2-3,23,51.1,45
Netherlands,1,21,46.7,45
Netherlands,6 or more,1,2.2,45
United Kingdom,1,58,50.0,116
United Kingdom,2-3,48,41.4,116
United Kingdom,4-5,7,6.0,116
United Kingdom,6 or more,3,2.6,116
United States,1,44,50.6,87
United States,2-3,39,44.8,87
United States,4-5,2,2.3,87
United States,6 or more,2,2.3,87
