category,n,pct
Python,78,84.8
JavaScript,36,39.1
C++,35,38.0
SQL,33,35.9
R,25,27.2
C,22,23.9
Fortran,17,18.5
TypeScript,17,18.5
Matlab,12,13.0
Java,10,10.9
Rust,10,10.9
Go,6,6.5
Julia,6,6.5
PHP,6,6.5
Perl,4,4.3
Ruby,3,3.3
Swift,3,3.3
Lua,2,2.2
Assembly,1,1.1
C#,1,1.1
F#,1,1.1
Groovy,1,1.1
Scala,1,1.1
VB.NET,1,1.1
