category,n,pct
Python,113,91.1
C++,43,34.7
SQL,41,33.1
JavaScript,37,29.8
R,31,25.0
Fortran,26,21.0
C,25,20.2
Java,19,15.3
TypeScript,15,12.1
Matlab,12,9.7
PHP,11,8.9
Julia,10,8.1
Perl,9,7.3
Rust,8,6.5
C#,7,5.6
Lua,7,5.6
Assembly,4,3.2
Go,4,3.2
Ruby,4,3.2
Haskell,2,1.6
VB.NET,2,1.6
Erlang,1,0.8
VBA,1,0.8
Visual Basic,1,0.8
