category,n,pct
Promotion/PhD,95,46.1
Masters Degree,89,43.2
Undergraduate degree,14,6.8
UAS / subject-specific HE entrance qualification,5,2.4
Secondary / lower secondary certificate,1,0.5
General university entrance qualification,1,0.5
Habilitation,1,0.5
