age_group,category,n,pct,N
Under 35,6-9,1,1.8,56
Under 35,3-6,33,58.9,56
Under 35,0-3,22,39.3,56
35-44,9,1,2.2,46
35-44,6-9,4,8.7,46
35-44,3-6,30,65.2,46
35-44,0-3,11,23.9,46
45-54,9,1,9.1,11
45-54,6-9,2,18.2,11
45-54,3-6,6,54.5,11
45-54,0-3,2,18.2,11
55+,3-6,1,50.0,2
55+,0-3,1,50.0,2
