category,n,pct
Institutional support (centrally funded),137,72.1
Grants,107,56.3
I volunteer my time,35,18.4
Consulting &amp; services,10,5.3
Industry support,9,4.7
Foundations &amp; consortiums,9,4.7
Venture Capital,1,0.5
