category,n,pct
Grants,95,81.2
Institutional support (centrally funded),74,63.2
I volunteer my time,17,14.5
Consulting &amp; services,14,12.0
Industry support,10,8.5
Foundations &amp; consortiums,8,6.8
Venture Capital,3,2.6
