country_group,category,n,pct
United Kingdom,University,70,56.9
United Kingdom,Private company,23,18.7
United Kingdom,This is my first job,14,11.4
United Kingdom,Government,6,4.9
United Kingdom,Non-profit organization,6,4.9
United Kingdom,National laboratory,4,3.3
United States,University,39,43.8
United States,Private company,31,34.8
United States,This is my first job,10,11.2
United States,National laboratory,4,4.5
United States,Non-profit organization,4,4.5
United States,Government,1,1.1
