age_group,category,n,pct,N
Under 35,15+,4,5.7,70
Under 35,10-15,10,14.3,70
Under 35,5-10,29,41.4,70
Under 35,0-5,27,38.6,70
35-44,15+,33,40.2,82
35-44,10-15,25,30.5,82
35-44,5-10,16,19.5,82
35-44,0-5,8,9.8,82
45-54,15+,29,78.4,37
45-54,10-15,3,8.1,37
45-54,5-10,2,5.4,37
45-54,0-5,3,8.1,37
55+,15+,14,100.0,14
