age_group,category,n,pct,N
Under 35,0% (None at all),43,69.4,62
Under 35,20%,16,25.8,62
Under 35,40%,3,4.8,62
35-44,0% (None at all),47,61.0,77
35-44,20%,23,29.9,77
35-44,40%,6,7.8,77
35-44,60%,1,1.3,77
45-54,0% (None at all),17,51.5,33
45-54,20%,14,42.4,33
45-54,40%,1,3.0,33
45-54,60%,1,3.0,33
55+,0% (None at all),9,69.2,13
55+,20%,4,30.8,13
