age_group,category,n,pct,N
Under 35,0% (None at all),31,47.7,65
Under 35,20%,26,40.0,65
Under 35,40%,4,6.2,65
Under 35,60%,4,6.2,65
35-44,0% (None at all),21,26.6,79
35-44,20%,39,49.4,79
35-44,40%,13,16.5,79
35-44,60%,4,5.1,79
35-44,80%,2,2.5,79
45-54,0% (None at all),9,27.3,33
45-54,20%,15,45.5,33
45-54,40%,2,6.1,33
45-54,60%,7,21.2,33
55+,0% (None at all),6,42.9,14
55+,20%,5,35.7,14
55+,40%,2,14.3,14
55+,60%,1,7.1,14
