age_group,category,n,pct,N
Under 35,0% (None at all),12,17.9,67
Under 35,20%,32,47.8,67
Under 35,40%,15,22.4,67
Under 35,60%,7,10.4,67
Under 35,80%,1,1.5,67
35-44,0% (None at all),21,26.2,80
35-44,20%,38,47.5,80
35-44,40%,10,12.5,80
35-44,60%,8,10.0,80
35-44,80%,3,3.8,80
45-54,0% (None at all),9,26.5,34
45-54,20%,15,44.1,34
45-54,40%,7,20.6,34
45-54,80%,2,5.9,34
45-54,100% (All my time),1,2.9,34
55+,0% (None at all),2,15.4,13
55+,20%,11,84.6,13
