age_group,category,n,pct,N
Under 35,0% (None at all),38,66.7,57
Under 35,20%,16,28.1,57
Under 35,40%,3,5.3,57
35-44,0% (None at all),32,45.7,70
35-44,20%,33,47.1,70
35-44,40%,2,2.9,70
35-44,60%,2,2.9,70
35-44,80%,1,1.4,70
45-54,0% (None at all),15,48.4,31
45-54,20%,9,29.0,31
45-54,40%,7,22.6,31
55+,0% (None at all),7,58.3,12
55+,20%,3,25.0,12
55+,40%,2,16.7,12
