age_group,category,n,pct,N
Under 35,0% (None at all),13,23.2,56
Under 35,20%,37,66.1,56
Under 35,40%,5,8.9,56
Under 35,60%,1,1.8,56
35-44,0% (None at all),16,22.2,72
35-44,20%,48,66.7,72
35-44,40%,7,9.7,72
35-44,60%,1,1.4,72
45-54,0% (None at all),5,20.8,24
45-54,20%,14,58.3,24
45-54,40%,2,8.3,24
45-54,60%,2,8.3,24
45-54,80%,1,4.2,24
55+,0% (None at all),3,25.0,12
55+,20%,9,75.0,12
