age_group,category,n,pct,N
Under 35,0% (None at all),26,46.4,56
Under 35,20%,28,50.0,56
Under 35,60%,2,3.6,56
35-44,0% (None at all),30,41.1,73
35-44,20%,35,47.9,73
35-44,40%,8,11.0,73
45-54,0% (None at all),10,35.7,28
45-54,20%,15,53.6,28
45-54,40%,3,10.7,28
55+,0% (None at all),7,70.0,10
55+,20%,3,30.0,10
