age_group,category,n,pct,N
Under 35,0% (None at all),39,72.2,54
Under 35,20%,13,24.1,54
Under 35,40%,2,3.7,54
35-44,0% (None at all),37,55.2,67
35-44,20%,25,37.3,67
35-44,40%,4,6.0,67
35-44,60%,1,1.5,67
45-54,0% (None at all),10,43.5,23
45-54,20%,12,52.2,23
45-54,40%,1,4.3,23
55+,0% (None at all),3,33.3,9
55+,20%,6,66.7,9
