category,n,pct
Institutional Training,42,56.0
Local University Training,22,29.3
Software Carpentry,14,18.7
Workshops And Conferences,11,14.7
HPC Courses And Workshops,9,12.0
Version Control Systems,5,6.7
Software Training,2,2.7
