age_group,category,n,pct,N
Under 35,1-4,55,79.7,69
Under 35,5-9,11,15.9,69
Under 35,10-14,2,2.9,69
Under 35,15+,1,1.4,69
35-44,0,3,3.7,81
35-44,1-4,66,81.5,81
35-44,5-9,8,9.9,81
35-44,10-14,3,3.7,81
35-44,15+,1,1.2,81
45-54,1-4,23,62.2,37
45-54,5-9,8,21.6,37
45-54,10-14,3,8.1,37
45-54,15+,3,8.1,37
55+,0,1,7.1,14
55+,1-4,9,64.3,14
55+,5-9,3,21.4,14
55+,10-14,1,7.1,14
