age_group,category,n,pct,N
Under 35,Always,31,91.2,34
Under 35,Never,3,8.8,34
35-44,Always,31,88.6,35
35-44,Never,4,11.4,35
45-54,Always,15,93.8,16
45-54,Never,1,6.2,16
55+,Always,6,85.7,7
55+,Never,1,14.3,7
