country_group,category,n,pct,N
Germany,Always,66,75.0,88
Germany,Never,22,25.0,88
Netherlands,Never,8,57.1,14
Netherlands,Always,6,42.9,14
United Kingdom,Never,17,50.0,34
United Kingdom,Always,17,50.0,34
United States,Always,13,52.0,25
United States,Never,12,48.0,25
